"r","reps","K","maxsize","lowsuccess","highsuccess","meandenied","meanhi","num.dead","meansize","meangrowth","denial_size_slope","denial_size_R2","growth_hi_slope","growth_hi_R2"
1,1,500,10,0.8,0.1,10.506,2.084,0,11.2975840735318,6.47618897185413,0.5231277540023,0.264867686676214,0.886991160029503,0.297131771609746
1,2,500,10,0.8,0.1,10.622,2.144,0,11.3530794646099,6.40756602914277,0.470697928999002,0.234277803201026,0.94124349307809,0.321163264793745
1,3,500,10,0.8,0.1,10.462,2.018,0,11.1936472261879,6.4014700575588,0.479324025008862,0.224047416464829,0.886278087540314,0.309369701986929
1,4,500,10,0.8,0.1,10.544,1.964,0,11.266092734247,6.31230525672764,0.435625236217284,0.219084034052263,1.01805889406091,0.368798640578838
1,5,500,10,0.8,0.1,10.442,1.916,0,11.2778758979779,6.22516886350737,0.467438424723764,0.235515861260812,0.864388531210698,0.282791359496517
1,6,500,10,0.8,0.1,10.752,2.048,0,11.2981613221279,6.35989168572044,0.477327865471555,0.233842796204951,0.889064538777815,0.291694265930236
1,7,500,10,0.8,0.1,10.714,2.05,0,11.344420949191,6.32048431659874,0.488344640601388,0.248201685940646,0.943013119672085,0.356299405931672
1,8,500,10,0.8,0.1,10.824,1.98,0,11.4976103760054,6.36589839620831,0.45387095371349,0.212358332740043,0.924313160671229,0.353957155626095
1,9,500,10,0.8,0.1,10.536,1.992,0,11.1451597765451,6.13174466815682,0.50311942687278,0.251750735960631,0.908520334219244,0.354048662146869
1,10,500,10,0.8,0.1,10.862,2.036,0,11.539284000694,6.26204121779576,0.449344963148697,0.200922951975254,0.881390481583166,0.272867010355987
1,11,500,10,0.8,0.1,10.376,1.906,0,11.2465242266632,6.28767390962456,0.428618063572302,0.219743708231987,0.968871686022765,0.345262232133781
1,12,500,10,0.8,0.1,10.652,2.062,0,11.4251167649272,6.36873394702643,0.437087638713793,0.206053559035725,0.926163353366388,0.321337167615831
1,13,500,10,0.8,0.1,10.852,2.14,0,11.5998429718728,6.59495713722175,0.435170791209397,0.217135215745463,0.961968517832832,0.342680879872081
1,14,500,10,0.8,0.1,10.78,1.988,0,11.4349623330761,6.20084112162558,0.451579323693116,0.214515248300085,0.923825806185233,0.300795736069832
1,15,500,10,0.8,0.1,10.422,1.964,0,11.1063652353903,6.38116701678198,0.535757089907827,0.302225205256678,0.854314030851058,0.306406111895561
1,16,500,10,0.8,0.1,10.492,1.992,0,11.3684147724703,6.41269139375608,0.504579416734756,0.257724942643326,0.80686428449797,0.245097843025848
1,17,500,10,0.8,0.1,10.322,1.89,0,11.1078524268218,6.33303371792514,0.496810167273512,0.222040474414126,1.02085049811196,0.37066883115257
1,18,500,10,0.8,0.1,10.56,1.95,0,11.3919976884066,6.48230918569345,0.484661144610715,0.253740014963203,1.02884536291295,0.325674712997428
